15942,659,285
15952,315,393,262
15962,311,190,261
15972,440,366,319
15982,334,549,405
15992,480,471,408
16002,334,411,363
16012,592,599,387
16022,672,574,394
16032,370,392,420
16042,293,276,426
16052,497,527,423
16062,349,590,417
16072,452,472,450
16082,345,612,426
16092,366,615,430
16102,328,614,447
16112,319,308,494
16122,327,548,511
16132,340,120,523
16142,352,605,483
16152,372,434,481
16162,478,595,473
16172,508,616,495
16182,416,361,412
16192,323,617,418
16202,461,401,424
16212,528,285,387
16222,681,302,317
16232,410,548,288
16242,323,440,321
16252,653,505,358
16262,425,591,368
16272,322,547,385
16282,588,589,388
16292,322,552,378
16302,462,625,360
16312,284,167,372
16322,340,580,369
16332,345,488,360
16342,655,418,364
16352,366,596,413
16362,617,627,386
16372,473,542,397
16382,303,586,394
16392,348,595,424
16402,290,574,406
16412,599,559,425
16422,420,454,394
16432,401,541,421
16442,658,488,423
16452,424,490,420
16462,410,543,426
16478,598,351,414
16940,,544,384
16951,332,565,399
16961,371,522,368
16971,285,256,349
16981,277,537,328
16991,328,151,374
17001,248,333,325
17011,291,338,314
17021,309,348,285
17031,300,638,333
17041,498,639,339
17051,764,331,339
17061,446,549,348
17071,726,315,400
17081,376,656,445
17091,306,292,365
17101,289,452,383
17111,403,586,362
17121,491,567,363
17131,495,526,353
17141,540,539,378
17151,319,516,402
17161,676,611,392
17171,427,604,375
17181,606,556,458
17191,399,561,348
17201,430,592,398
17211,505,263,414
17221,513,615,383
17231,399,605,396
17241,391,320,406
17251,450,586,428
17261,320,584,410
17271,336,600,391
17281,331,573,368
17291,327,601,359
17301,584,238,363
17311,315,591,362
17321,591,592,348
17331,300,346,356
17341,292,272,312
17351,491,652,334
17361,322,605,341
17371,436,483,332
17381,485,608,370
17391,391,665,375
17401,594,636,391
17411,645,616,363
17421,466,423,365
17431,712,368,385
17441,545,635,373
17451,374,631,371
17461,405,635,375
17477,333,428,388
17493,343,420,399
17509,309,646,383
17524,315,599,403
17540,408,310,391
17556,491,113,409
17572,484,569,410
17587,395,74,414
17604,356,258,441
17619,532,624,416
17635,472,350,420
17651,364,577,436
17667,354,609,411
17683,330,576,364
17698,315,403,352
17714,439,608,325
17730,724,617,319
17746,329,610,310
17762,321,359,347
17778,410,476,322
17793,328,286,364
17809,345,288,393
17825,383,688,389
17841,490,590,358
17857,318,583,377
17872,320,477,383
17888,316,464,361
17904,565,664,423
17920,398,675,377
17936,351,557,411
17952,324,153,394
17967,369,532,361
17983,664,550,390
17999,300,577,393
18015,367,611,409
18031,409,549,371
18047,421,532,397
18062,485,554,428
18078,475,404,415
18094,411,544,418
18110,520,533,436
18126,450,561,429
18141,433,528,420
18157,298,547,416
18173,319,552,389
18189,465,463,354
18205,273,370,392
18220,435,303,367
18236,304,609,405
18252,317,605,353
18268,286,659,372
18284,324,527,343
