5957,12,136
5967,704,512,440
5977,422,512,769
5987,466,513,134
5997,506,512,156
6007,511,512,196
6017,511,513,559
6027,502,513,175
6037,509,511,209
6047,510,511,543
6057,627,513,372
6067,471,512,150
6078,504,513,159
6088,511,513,539
6098,472,1018,259
6108,540,240,237
6119,432,465,221
6129,482,506,220
6139,470,511,147
6149,506,513,214
6160,505,513,238
6170,511,512,237
6180,476,509,227
6190,659,511,346
6200,511,512,494
6210,443,1021,642
6221,503,409,200
6232,510,500,259
6242,492,510,228
6252,509,513,170
6262,495,513,178
6272,442,510,163
6282,501,511,584
6293,465,510,125
6303,481,511,168
6313,490,513,773
6323,510,512,176
6334,511,513,589
6344,498,511,492
6354,511,1019,182
6365,471,359,681
6375,506,477,140
6385,493,507,122
6395,490,512,113
6405,456,512,100
6415,471,512,728
6426,505,510,116
6437,485,510,109
6447,476,511,90
6457,507,511,169
6467,506,513,349
6477,529,513,350
6487,456,569,100
6497,477,57,689
6508,481,549,555
6520,508,481,231
6535,506,581,135
6551,504,521,114
6567,511,514,151
6582,510,513,86
6599,510,513,419
6614,511,512,226
6630,468,486,123
6646,436,589,120
6662,499,593,166
6678,507,522,149
6694,511,513,786
6709,447,512,167
6725,459,512,158
6741,464,511,155
6757,503,512,151
6773,511,512,172
6788,426,409,103
6804,414,740,268
6820,484,342,737
6836,508,491,246
6852,511,526,133
6868,508,493,257
6883,509,510,429
6899,511,510,212
6915,509,513,234
6931,505,512,202
6947,433,511,149
6961,496,510,94
6978,509,512,259
6994,509,511,124
7010,511,511,444
7027,511,1020,252
7042,510,684,165
7057,512,534,187
7073,511,516,267
7089,443,459,172
7103,465,7,176
7121,426,424,413
7136,500,501,232
7152,491,510,593
7168,467,510,282
7184,454,708,560
7200,406,463,419
7215,445,507,578
7231,409,511,785
7247,412,513,306
7263,499,513,463
7279,509,509,324
7295,403,511,205
7310,472,510,383
7326,505,512,667
7342,514,638,320
7358,667,273,569
7374,470,463,220
7390,411,506,140
7405,497,512,581
7421,508,580,211
7437,512,483,495
7453,508,508,175
7469,487,508,224
7484,513,512,204
7500,494,512,194
7516,508,511,164
7532,434,510,234
7548,480,512,144
7564,465,512,473
7579,606,511,162
7594,433,512,92
7612,402,1018,163
7627,497,377,173
7642,664,466,89
7658,377,505,451
7674,646,512,161
7690,395,535,377
7706,494,547,525
7722,469,320,749
7736,506,465,83
7753,511,506,367
7770,502,1019,134
7785,510,286,175
7801,426,454,713
7817,558,342,750
7832,375,580,340
7848,429,521,204
7864,490,585,147
7880,509,369,282
7896,502,661,263
7912,602,558,260
7927,441,518,412
7943,489,513,200
7959,506,116,384
7975,487,463,409
7991,504,506,357
8006,510,512,128
8022,512,512,130
8038,681,512,224
8054,437,513,589
8070,501,511,608
8087,507,1020,542
8101,644,285,687
8117,399,362,128
8133,473,494,186
8149,675,503,138
8165,426,511,323
8181,500,704,135
8196,471,409,211
8212,452,470,326
8228,558,507,288
8244,484,513,182
8260,390,511,146
8275,496,512,777
8291,729,510,723
8307,401,510,152
8323,483,510,176
8339,470,513,314
8355,753,804,711
8370,571,634,455
8385,379,281,64
8402,485,498,371
8418,564,580,272
8434,469,730,168
8449,431,479,137
8465,391,658,117
8481,475,531,123
8497,584,139,218
8537,404,465,187
8547,426,506,93
8557,448,546,673
8569,610,507,217
8579,541,511,347
8591,426,513,78
8633,490,604,262
8643,504,444,651
8653,508,504,273
8663,512,511,573
8673,416,629,118
8687,498,834,249
8749,482,461,157
8759,504,361,116
8769,416,372,119
8779,382,692,90
8789,590,578,188
8799,499,484,702
8809,510,254,128
8819,412,479,111
8829,396,508,122
8845,428,677,180
8861,451,498,571
8876,498,510,223
8892,510,980,120
8908,513,616,149
8924,418,463,507
8940,458,135,151
8955,624,464,326
8971,669,506,196
8987,436,560,113
9003,438,887,128
9019,435,560,198
9035,387,519,468
9050,677,514,241
9066,528,513,698
9082,427,192,187
9098,494,424,324
9114,509,501,318
9129,512,512,173
9145,583,513,273
9161,602,512,400
9177,438,513,324
9193,513,511,193
9209,369,511,112
9224,488,359,699
9240,550,428,658
9256,631,501,564
9272,626,511,491
9288,466,512,550
9303,495,512,177
9319,475,512,656
9335,504,510,157
9351,511,510,154
9368,435,1019,806
9383,389,522,182
9398,453,469,449
9414,474,394,757
9430,418,470,153
9446,461,371,238
9462,452,494,346
9478,503,511,181
9493,438,511,174
9509,468,513,700
9525,506,513,231
9541,510,511,243
9557,423,509,141
9572,495,512,162
9588,396,512,115
9604,492,512,113
9620,509,512,150
9636,441,512,106
9652,440,513,167
9667,502,512,124
9683,431,512,756
9699,500,512,169
9715,467,512,207
9731,458,513,134
9746,490,512,164
9762,509,512,165
9779,461,1022,155
9793,539,583,84
9810,494,321,671
9826,510,385,311
9840,451,496,91
9857,398,947,144
9873,495,567,657
9889,399,353,108
9905,701,231,712
9920,420,514,161
9936,458,734,574
9952,429,543,167
9968,502,516,165
9984,509,513,419
10000,411,513,125
10015,498,181,420
10031,509,471,136
10047,511,507,135
10063,555,511,344
10079,419,513,189
10094,496,586,192
10110,509,501,490
10126,512,510,140
10142,541,511,700
10158,489,509,769
10174,459,510,190
10189,718,511,505
10205,613,512,696
10221,489,474,407
10237,502,554,137
10253,595,380,322
10268,369,514,640
10284,397,748,144
10300,470,721,134
10316,438,307,182
10332,492,439,280
10348,507,500,673
10363,424,511,171
10379,496,509,402
10395,463,511,225
10411,503,513,236
10427,472,512,219
10442,500,510,202
10458,504,510,645
10474,510,512,289
10490,512,513,669
10506,506,512,154
10523,766,1019,143
10537,482,443,220
10553,417,392,193
10569,602,591,127
10585,402,513,641
10600,493,432,92
10617,502,491,214
10632,503,613,105
10648,735,639,134
10664,383,369,159
10680,495,495,274
