17956,12,200
17967,539,512,207
17977,641,511,191
17987,474,512,347
17997,629,512,196
18007,375,513,209
18017,437,511,202
18027,491,513,197
18037,531,513,210
18047,271,512,221
18057,366,513,272
18067,217,512,194
18078,407,513,228
18089,612,513,220
18102,250,513,193
18112,456,512,192
18123,194,512,188
18133,601,512,222
18143,301,513,200
18153,619,351,194
18163,284,428,204
18173,441,502,324
18183,596,510,565
18193,519,512,452
18203,451,513,374
18213,291,513,172
18223,553,511,196
18233,379,509,197
18243,435,511,213
18253,247,511,206
18263,301,513,206
18273,332,511,207
18283,264,512,677
18293,445,512,206
18303,203,512,222
18313,197,513,208
18323,429,512,205
18337,306,512,206
18347,314,512,223
18357,348,512,200
18367,617,512,209
18377,469,1019,234
18387,384,439,206
18397,428,503,217
18407,280,511,218
18417,205,512,207
18427,515,513,214
18437,345,510,200
18448,246,509,226
18458,383,510,200
18468,636,511,223
18478,380,513,231
18488,436,513,216
18498,452,513,207
18508,423,513,226
18519,274,511,216
18536,384,1021,208
18550,597,277,181
18566,354,482,214
18582,538,508,203
18598,242,511,220
18614,273,511,233
18629,293,512,212
18645,365,511,197
18661,204,509,197
18677,610,510,473
18693,303,512,238
18709,594,512,210
18724,324,513,211
18740,265,512,253
18756,204,511,402
18772,212,511,201
18788,408,511,179
18803,485,512,205
18819,264,513,211
18835,421,512,207
18851,311,513,224
18867,559,511,194
18883,382,512,206
18898,304,512,216
18914,323,511,199
18930,598,513,173
18946,282,513,197
18962,218,320,209
18977,241,436,208
18993,565,503,255
19009,378,511,230
19025,233,507,204
19041,379,510,218
19057,540,544,218
19072,345,635,231
19088,209,506,208
19104,365,485,221
19120,292,514,211
19136,385,528,175
19151,531,500,200
19167,359,386,251
19183,389,448,202
19199,404,574,231
19215,213,475,214
19231,432,455,196
19246,382,506,199
19262,415,510,219
19278,404,510,234
19294,613,510,223
19310,352,512,202
19325,421,513,198
19341,225,512,205
19357,381,513,207
19373,213,512,215
19389,349,513,220
19405,322,512,210
19420,354,513,227
19436,490,513,213
19452,431,512,200
19468,292,513,233
19484,414,511,210
19499,357,511,209
19515,286,512,206
19531,273,512,208
19547,508,513,213
19563,608,512,213
19579,417,513,224
19594,537,511,206
19610,501,513,226
19626,603,512,205
19643,567,1021,221
19658,403,274,193
19674,411,488,205
19689,416,527,219
19705,391,496,209
19721,270,528,202
19737,612,508,191
19753,226,511,198
19768,604,511,282
19784,245,510,254
19800,200,511,187
19816,301,511,207
19832,282,513,214
19848,363,512,202
19863,587,511,248
19879,287,512,216
19895,223,511,202
19911,502,512,393
19927,270,511,217
19943,302,1019,226
19958,309,373,182
19974,353,492,218
19990,315,509,209
20006,334,512,189
20022,571,524,222
20037,311,512,202
20053,282,509,215
20069,444,509,182
20085,203,510,210
20101,544,512,523
20116,438,513,188
20132,288,512,210
20148,502,511,220
20164,564,513,189
20180,261,363,180
20196,640,473,200
20211,504,539,229
20227,509,469,278
20243,442,512,214
20259,483,533,208
20275,485,485,220
20290,331,491,210
20306,344,503,222
20322,586,547,215
20338,214,527,200
20354,626,536,219
20370,600,790,222
20385,359,471,222
20401,317,496,202
20417,330,511,216
20433,330,543,230
20449,571,505,211
20464,308,492,209
20480,566,509,219
20703,492,510,222
20714,311,510,225
20725,558,512,210
20736,355,511,205
20770,287,481,195
20780,559,453,209
20790,539,480,212
20800,552,500,226
20810,524,511,213
20821,529,513,194
20832,240,739,212
20842,585,478,392
20853,264,490,190
20863,531,492,184
20906,312,506,216
20916,534,513,614
20926,330,658,181
20936,247,823,215
20946,596,558,198
20957,264,695,188
20968,224,536,215
20979,480,540,208
20990,586,588,190
21001,282,477,200
21012,266,420,184
21022,355,427,199
21033,383,502,187
21044,539,512,490
21054,385,513,197
21064,552,513,192
21074,619,513,202
21084,563,510,476
21094,557,383,180
21104,457,399,216
21115,445,503,190
21125,300,855,180
21136,239,439,163
21147,383,504,182
21157,267,511,178
21167,639,511,215
21177,506,513,464
21187,300,511,170
21198,598,509,320
21208,318,511,182
21218,369,510,197
21228,284,512,194
21238,312,512,180
21248,560,513,209
21258,411,512,192
21271,195,508,180
21287,448,539,202
21303,635,637,206
21319,407,592,190
21334,478,492,188
21350,415,527,223
21366,456,356,204
21382,435,254,196
21398,241,418,179
21414,538,916,183
21429,452,392,169
21445,238,820,182
21461,322,582,219
21477,372,470,178
21493,287,626,194
21508,612,329,179
21524,306,324,160
21540,355,489,186
21556,313,677,199
21572,341,728,186
21588,628,504,199
21603,323,278,191
21619,499,483,176
21635,473,509,196
21651,246,513,189
21667,303,512,198
21682,266,512,194
21698,366,512,180
21714,274,510,189
21731,351,1018,185
21746,443,596,162
21762,348,522,180
21777,470,513,201
21793,333,512,263
21809,238,513,158
21825,274,512,194
21841,421,514,178
21856,455,512,187
21872,292,511,259
21888,277,512,176
21904,519,467,189
21920,459,217,154
21936,291,474,450
21951,533,508,172
21967,442,511,566
21983,445,842,163
21999,369,563,213
22015,404,281,137
22030,206,722,160
22046,240,569,191
22062,277,543,177
22078,405,521,139
22094,446,513,188
22110,499,512,196
22125,387,516,186
22141,239,515,194
22157,358,614,136
22173,367,526,154
22187,412,6,189
22204,283,407,229
22220,373,499,447
22236,406,511,155
22252,455,513,166
22268,341,742,195
22283,582,541,173
22299,382,516,179
22315,479,525,179
22331,290,414,169
22347,349,562,194
22363,346,519,198
22378,558,514,227
22394,306,512,193
22410,267,512,184
22426,344,520,186
22442,337,569,202
22457,282,519,190
22473,298,258,209
22489,278,520,230
22505,444,169,201
22521,516,124,185
22537,497,463,164
22553,535,1019,160
