23958,512,8
23968,512,513,8
23978,512,513,8
23988,512,513,8
23998,512,512,8
24008,513,512,8
24018,512,512,8
24028,513,512,8
24038,512,513,8
24048,512,513,8
24058,512,512,8
24068,513,512,8
24078,512,513,8
24088,513,512,8
24098,512,512,8
24108,513,512,8
24118,512,513,8
24128,512,512,8
24138,512,512,8
24148,513,512,8
24158,513,512,8
24168,513,512,8
24178,512,513,7
24189,512,512,8
24199,513,512,8
24209,513,512,8
24220,512,512,8
24230,512,513,8
24240,512,511,8
24250,512,512,8
24260,512,513,8
24270,512,512,8
24280,512,513,8
24290,513,512,8
24301,511,513,8
24311,512,513,8
24321,513,512,8
24331,513,512,8
24341,512,512,8
24351,513,512,8
24362,512,512,8
24372,512,512,7
24383,512,513,8
24393,512,512,8
24403,512,513,8
24413,512,513,8
24423,512,513,8
24434,512,513,8
24444,512,512,7
24454,512,512,8
24464,512,512,8
24474,513,512,7
24484,512,513,8
24495,513,512,8
24505,512,514,8
24515,512,512,7
24525,513,512,8
24535,513,512,7
24546,513,513,7
24556,512,512,8
24566,513,512,8
24576,512,514,8
24586,512,513,8
24597,512,513,8
24607,512,512,8
24621,512,512,8
24637,512,513,8
24653,512,512,8
24669,512,512,7
24684,513,512,8
24700,513,512,8
24716,512,512,8
24732,512,513,8
24747,513,512,8
24763,513,512,8
24779,512,513,8
24794,513,512,8
24810,512,513,8
24826,513,512,8
24842,513,513,8
24857,512,512,8
24873,512,513,8
24889,513,512,8
24905,512,512,7
24920,512,513,8
24936,512,512,7
24952,512,512,8
24967,512,512,8
24983,512,513,8
24999,513,512,8
25015,513,512,8
25030,512,512,8
25046,512,513,8
25062,512,512,8
25078,512,512,8
25093,513,512,8
25109,512,513,8
25125,513,512,8
25141,512,513,7
25156,512,512,8
25172,512,513,8
25188,513,512,8
25203,512,512,8
25219,513,512,8
25235,513,512,8
25251,511,513,8
25266,513,512,8
25282,513,512,8
25298,512,513,8
25314,513,512,8
25329,512,512,8
25345,512,513,8
25361,513,512,8
25376,512,512,8
25392,512,512,8
25408,512,513,8
25424,513,512,8
25439,512,512,8
25455,512,513,8
25471,512,513,8
25486,512,513,8
25502,512,512,8
25518,511,512,8
25534,513,512,8
25549,512,512,8
25565,512,512,8
25581,512,513,8
25597,512,513,8
25612,512,513,8
25628,512,512,8
25644,512,512,8
25659,512,512,8
25675,512,512,8
25691,513,512,8
25707,512,513,8
25722,513,512,8
25738,512,513,8
25754,513,512,8
25770,512,513,8
25785,512,512,8
25801,512,513,8
25817,512,513,8
25833,512,512,8
25848,512,512,8
25864,513,512,7
25880,512,513,8
25895,512,513,8
25911,513,512,8
25927,512,512,8
25943,512,513,8
25958,512,512,8
25974,513,512,8
25990,512,513,8
26006,513,512,8
26021,512,513,8
26037,512,512,8
26053,512,513,8
26068,513,512,7
26084,512,513,8
26100,512,512,8
26116,513,512,8
26131,513,512,8
26147,513,512,8
26163,513,512,8
26179,512,513,8
26194,513,512,8
26210,512,512,8
26226,512,512,8
26241,512,512,8
26257,512,512,8
26273,513,512,8
