4941,77,210
4951,405,589,209
4961,411,581,204
4971,411,575,212
4981,407,596,198
4991,411,571,211
5001,409,593,196
5011,414,328,200
5021,418,589,215
5031,406,623,178
5041,409,597,184
5051,409,585,198
5061,411,573,222
5071,406,369,202
5081,411,588,200
5091,412,586,207
5101,413,443,200
5111,411,494,225
5121,408,590,204
5131,415,573,229
5141,431,585,648
5151,549,469,589
5161,436,555,521
5171,455,377,158
5181,503,586,493
5191,407,594,168
5201,411,190,208
5211,407,582,208
5221,410,583,214
5231,410,579,216
5241,405,323,205
5251,408,591,236
5261,410,602,218
5271,408,584,206
5281,414,589,196
5291,407,578,193
5301,405,592,199
5311,408,577,215
5321,406,574,213
5331,413,587,187
5341,403,633,219
5351,407,278,211
5361,408,589,204
5371,405,596,180
5381,415,550,208
5391,411,484,218
5401,408,593,264
5411,404,568,218
5421,413,593,258
5431,409,596,206
5441,406,466,205
5451,408,560,207
5461,409,574,194
5477,406,594,197
5493,408,405,202
5508,406,412,190
5524,406,563,200
5540,403,121,234
5556,408,587,233
5572,412,603,190
5588,409,592,193
5603,406,577,191
5619,404,447,179
5635,409,546,194
5651,414,604,194
5667,415,570,214
5682,412,470,196
5698,415,589,189
5714,407,558,191
5730,412,380,213
5746,411,581,207
5762,411,595,196
5777,408,594,189
5793,407,515,217
5809,406,549,203
5825,401,541,184
5841,405,571,204
5856,412,573,201
5872,410,597,224
5888,407,524,204
5904,413,582,240
5920,411,569,228
5936,407,574,189
5951,408,566,203
5967,411,584,227
5983,407,571,195
5999,405,592,195
6015,403,577,197
6030,407,544,207
6046,412,581,214
6062,416,419,235
6078,409,435,216
6094,407,598,192
6110,410,392,234
6125,406,573,193
6141,407,563,213
6157,402,479,204
6173,410,523,192
6189,409,562,207
6204,411,576,224
6220,408,481,205
6236,410,581,210
6252,415,577,236
6268,410,558,218
6284,408,577,211
6299,410,565,212
6315,403,559,207
6331,407,589,201
6347,407,579,230
6363,403,576,216
6379,405,489,222
6394,406,569,214
6410,410,564,215
6426,406,618,205
6442,406,599,192
6458,409,254,218
6473,402,580,206
6489,408,586,201
6505,409,578,215
6521,410,326,196
6537,406,430,214
6553,411,573,198
6568,408,569,203
6584,403,592,214
6600,408,520,197
6616,412,584,186
6632,415,547,214
6647,412,578,197
6663,403,502,187
6679,408,601,184
6695,412,576,207
6711,416,505,215
6727,411,589,202
6742,418,614,204
6757,409,88,223
6774,423,580,277
6790,408,602,212
6806,404,603,218
6821,409,574,222
6837,409,568,200
6853,412,519,194
6869,403,582,199
6885,403,297,199
6901,408,589,205
6916,404,591,207
6932,418,539,200
6948,412,562,190
6964,407,555,191
6980,402,260,210
6995,405,599,184
7011,416,579,208
7027,408,590,197
7043,407,596,199
7059,403,544,185
