1451508,,109
1451518,319,465,109
1451528,308,446,122
1451538,305,451,121
1451548,317,443,124
1451558,311,441,91
1451568,337,451,139
1451578,325,442,106
1451588,328,447,85
1451598,350,566,162
1451609,319,449,140
1451619,324,492,139
1451630,326,439,106
1451640,332,550,125
1451650,343,438,84
1451660,375,451,155
1451670,326,475,123
1451680,366,438,115
1451690,319,472,116
1451700,342,532,75
1451710,332,447,149
1451720,316,441,93
1451730,346,451,95
1451740,362,448,152
1451750,343,504,122
1451760,329,464,103
1451770,327,451,148
1451780,336,448,95
1451790,367,456,162
1451800,350,461,131
1451810,350,462,114
1451820,354,532,115
1451830,350,472,84
1451840,369,471,159
1451850,351,457,99
1451860,364,478,154
1451870,346,453,148
1451880,345,473,116
1451890,331,453,110
1451900,343,463,122
1451910,327,462,100
1451920,329,456,120
1451930,327,449,377
1451940,335,445,62
1451950,359,456,133
1451960,331,455,104
1451970,334,462,89
1451980,338,492,130
1451990,320,465,106
1452000,324,489,108
1452010,345,517,122
1452020,339,454,104
1452030,328,535,153
1452041,319,528,167
1452051,324,498,78
1452061,355,506,164
1452076,320,528,90
1452093,343,476,161
1452109,315,482,124
1452124,322,465,91
1452140,343,468,153
1452156,341,456,105
1452171,328,469,98
1452188,356,489,576
1452203,338,457,60
1452219,364,489,133
1452235,339,464,102
1452250,343,518,71
1452267,357,522,123
1452283,327,457,102
1452298,353,468,131
1452313,332,471,95
1452330,353,545,598
1452345,338,462,79
1452362,366,471,170
1452377,347,466,139
1452393,327,462,128
1452409,326,460,112
1452425,325,477,106
1452440,333,460,85
1452457,346,482,758
1452471,338,461,78
1452488,357,462,133
1452504,333,516,110
1452520,334,457,135
1452535,316,443,96
1452551,335,462,161
1452567,328,463,115
1452582,304,471,65
1452599,406,524,155
1452614,336,528,94
1452630,345,470,134
1452646,327,463,101
1452662,326,461,119
1452677,318,455,81
1452694,347,450,126
1452709,330,452,111
1452724,326,454,78
1452741,351,527,762
1452756,346,464,70
1452772,357,462,88
1452788,362,468,149
1452803,357,464,56
1452820,357,463,110
1452835,345,476,83
1452852,360,451,153
1452866,339,461,69
1452883,346,482,144
1452899,322,441,108
1452915,335,461,105
1452931,468,436,235
1452946,328,451,100
1452962,339,454,648
1452978,330,455,117
1452994,326,517,115
1453009,314,444,80
1453025,359,462,130
1453041,341,438,108
1453056,333,478,78
1453073,356,546,140
1453089,299,463,125
1453103,324,463,88
1453120,337,449,135
1453135,324,453,79
1453152,331,448,120
1453168,293,448,221
1453183,299,440,410
1453198,305,471,78
1453215,324,528,109
1453231,299,459,121
1453246,289,533,75
1453262,344,476,140
1453278,528,485,681
1453294,326,461,112
1453309,324,468,99
1453326,350,454,125
1453340,327,460,90
1453357,359,461,124
1453373,351,457,105
1453389,333,461,132
1453405,335,454,132
1453421,346,456,113
1453435,350,451,82
1453452,366,462,149
1453467,324,495,84
1453484,342,454,161
1453499,326,465,93
1453515,338,461,151
1453530,316,450,96
1453547,341,462,150
1453563,327,450,117
1453578,311,454,80
1453594,341,466,146
1453609,323,472,71
1453626,361,481,136
1453642,337,476,112
1453658,322,468,121
1453672,282,453,93
1453689,332,472,146
1453704,281,537,81
1453721,292,498,146
1453736,284,457,74
1453752,286,459,133
1453768,260,480,104
1453784,289,461,122
1453799,291,552,85
1453816,301,464,165
1453831,275,462,105
1453847,289,463,117
1453862,288,478,92
1453879,323,465,135
1453894,319,476,94
1453910,346,469,131
1453926,334,479,108
1453942,334,459,133
1453957,295,474,95
1453974,311,480,134
1453989,310,466,106
1454005,292,469,109
1454021,299,451,620
1454036,310,483,95
1454053,317,469,142
1454068,303,464,102
1454084,315,456,104
1454100,310,482,112
1454116,313,448,111
1454131,309,445,91
1454148,311,475,177
1454163,297,467,138
1454178,304,452,74
1454195,350,467,162
1454211,296,467,106
1454226,308,467,93
1454242,339,527,170
1454258,296,452,113
1454274,304,452,104
1454290,282,461,132
1454306,285,465,100
1454320,286,461,92
1454337,324,466,133
1454352,294,459,88
1454369,322,465,166
1454384,290,456,92
1454400,306,459,148
1454416,320,467,106
1454432,340,549,398
1454447,326,492,67
1454464,332,462,147
1454479,322,547,128
1454495,313,545,110
1454511,315,483,120
1454527,322,464,195
1454542,313,480,95
1454558,325,482,149
1454574,299,523,690
1454590,306,468,104
1454606,298,455,120
1454622,308,465,104
1454638,297,446,110
1454653,291,466,135
1454668,303,453,93
1454685,331,464,157
1454701,294,462,112
1454716,302,450,95
1454732,308,554,142
1454748,308,463,120
1454764,300,457,115
1454780,308,445,120
1454796,313,456,108
1454811,297,452,112
1454826,291,536,90
1454843,341,550,157
1454859,298,455,117
1454875,296,449,112
1454889,276,446,89
1454906,308,463,171
1454922,279,453,115
1454938,280,449,302
1454953,285,484,93
1454970,326,459,157
1454985,298,451,125
1455001,285,459,103
1455016,311,458,92
1455032,312,451,93
1455049,323,468,146
1455063,310,466,97
1455080,342,465,151
1455096,305,444,128
1455112,319,449,122
1455127,310,444,92
1455143,339,474,160
1455159,318,448,132
1455175,296,457,105
1455191,290,453,117
1455207,283,447,125
1455222,292,448,103
1455238,292,447,124
1455254,312,443,100
1455269,306,460,97
1455286,320,456,147
1455301,297,453,114
1455316,295,547,80
1455333,312,462,142
1455349,316,455,106
1455365,288,462,147
1455381,315,468,119
1455396,301,458,116
1455412,278,452,123
1455427,282,443,91
1455444,313,456,145
1455460,304,454,114
1455475,277,541,102
1455490,292,454,94
1455507,327,454,154
1455522,285,528,87
1455539,323,462,145
1455554,283,454,140
1455570,287,478,116
1455585,289,451,77
1455602,316,460,156
1455618,293,459,112
1455632,279,545,73
1455649,317,470,170
1455665,307,480,110
1455681,325,466,139
1455696,294,466,94
1455712,323,474,131
1455728,319,531,521
1455744,293,460,115
1455759,304,451,86
1455776,335,465,195
1455791,317,458,130
1455806,322,477,90
