18336,12,4
18346,513,512,4
18356,513,512,4
18366,513,512,4
18376,512,512,4
18386,512,512,4
18396,512,512,4
18406,512,512,4
18416,512,512,4
18426,513,512,4
18436,512,512,4
18446,512,512,4
18456,513,512,3
18466,512,512,4
18476,512,512,4
18486,513,512,3
18496,512,512,4
18506,513,512,4
18516,513,512,4
18526,512,512,4
18536,513,512,4
18546,512,512,4
18556,512,512,4
18566,511,513,4
18576,513,512,4
18586,513,512,3
18596,512,512,4
18606,512,512,3
18616,513,512,2
18626,512,512,4
18636,512,512,4
18646,512,512,4
18656,511,513,4
18666,513,512,4
18676,512,513,4
18686,513,512,4
18696,512,512,4
18706,512,513,4
18716,512,512,4
18726,512,512,4
18736,513,512,3
18746,512,512,4
18756,512,512,4
18766,512,512,4
18776,513,512,3
18786,512,513,4
18796,512,512,4
18806,512,512,4
18816,513,512,3
18826,512,512,4
18836,513,512,3
18846,512,512,4
18856,512,512,4
18866,512,512,4
18876,511,512,4
18886,512,512,4
18896,512,512,4
18906,512,512,4
18916,513,512,4
18926,513,512,3
18936,512,512,4
18946,511,513,4
18956,513,512,4
18966,512,512,4
18976,513,512,3
18986,513,512,3
19002,511,513,4
19017,512,512,4
19033,512,513,4
19049,511,513,4
19065,513,512,4
19080,512,512,4
19096,513,512,4
19112,512,512,4
19127,512,513,4
19143,512,513,4
19159,512,512,4
19175,513,512,4
19190,513,512,4
19206,513,512,4
19222,512,512,4
19238,513,512,3
19253,512,512,4
19269,513,512,4
19285,513,512,3
19300,512,512,3
19316,512,512,4
19332,512,512,4
19348,512,513,4
19363,511,512,4
19379,512,513,4
19395,512,512,4
19411,512,512,4
19426,513,512,4
19442,512,512,4
19458,512,512,4
19473,513,512,4
19489,513,512,3
19505,512,513,4
19521,512,512,4
19536,513,512,3
19552,512,512,4
19568,513,512,4
19585,1017,513,4
19599,592,512,4
19615,522,512,4
19631,408,512,4
19647,551,511,4
19662,422,512,3
19678,339,512,3
19694,490,512,4
19709,509,512,3
19725,511,513,4
19741,512,512,4
19757,512,512,4
19772,513,512,4
19788,510,512,4
19804,510,512,4
19820,511,512,4
19835,512,512,4
19851,512,512,4
19867,513,512,3
19882,512,512,4
19898,513,512,4
19914,512,512,3
19930,513,512,3
19945,512,512,4
19961,512,512,4
19977,513,512,3
19993,513,512,4
20008,511,512,4
20024,512,512,4
20040,513,512,4
20055,512,512,4
20071,513,512,3
20087,513,512,3
20103,512,512,4
20118,512,512,4
20134,513,512,4
20150,512,512,4
20166,513,512,4
20181,512,512,4
20197,512,512,4
20213,512,512,4
20228,512,513,4
20244,512,512,4
20260,512,512,4
20276,512,512,4
20291,512,513,4
20307,511,512,4
20323,513,512,3
20339,513,512,4
20354,512,512,4
20370,512,512,4
20386,512,512,4
20402,513,512,4
20417,512,512,4
20433,512,512,4
20449,513,512,3
20464,512,512,4
20480,512,512,4
20496,511,513,4
20512,513,512,3
20527,513,512,3
20543,512,512,4
20559,513,512,4
20575,513,512,4
20590,512,512,4
20606,513,512,4
20622,513,512,4
20637,513,512,3
20653,512,512,4
20669,513,512,4
20685,513,512,4
20700,511,513,4
20716,512,513,4
20732,511,513,4
20748,513,512,4
20763,513,512,3
20779,512,512,4
20795,513,512,4
20810,512,513,4
20826,513,512,3
20842,512,512,4
20858,512,512,4
20873,513,512,3
20889,513,512,4
20905,512,512,4
20921,513,512,3
20936,512,512,4
20952,512,512,4
20968,513,512,4
20983,512,512,4
20999,512,512,4
21015,513,512,4
21031,512,512,4
21046,513,512,3
21062,513,512,3
21078,512,513,4
21094,512,512,4
21109,513,512,4
21125,512,512,4
21141,512,512,4
21156,512,512,4
21172,513,512,3
21188,512,513,4
21204,513,512,3
21219,512,512,4
21235,512,512,4
21251,513,512,3
21267,513,512,3
21282,513,512,3
21298,513,512,4
21314,512,512,4
21329,512,512,4
